GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US55001,55001,"Adams County, Wisconsin",7950,189,5083,164,4270,154,2867,149,5.1,0.8,2.0,0.6,1.2,0.5,10.9,2.0,5.7,0.8,2.9,0.8,2.2,0.7,11.1,2.1,14.0,1.2,9.6,1.4,7.0,1.1,22.8,2.4,13.3,1.4,12.7,1.8,11.4,1.8,14.4,1.8,18.9,1.4,19.7,1.8,20.3,2.0,17.5,2.1,21.5,1.7,23.7,2.3,24.9,2.4,17.2,3.1,10.7,1.2,15.0,1.7,16.3,1.9,2.5,1.0,7.0,0.9,9.1,1.3,10.5,1.5,2.1,1.0,2.0,0.5,2.8,0.7,3.3,0.8,0.7,0.6,1.8,0.5,2.5,0.7,3.0,0.8,0.6,0.5,43554,1639,51989,1652,57606,2205,28298,2232,55791,2017,66139,2820,71568,3300,35914,2240,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.0,(X)
0500000US55003,55003,"Ashland County, Wisconsin",6670,177,3999,169,2892,152,2671,210,5.9,1.2,4.9,1.2,1.1,0.8,9.6,2.6,7.5,1.3,3.9,1.2,0.9,0.3,13.6,2.6,17.6,1.6,10.2,1.9,7.4,1.6,27.2,3.8,13.3,2.0,11.5,2.2,12.0,2.6,16.5,3.5,17.3,1.9,17.7,2.3,18.0,2.5,17.6,3.7,17.7,2.0,21.8,2.8,23.2,3.3,9.9,2.5,9.9,1.5,14.3,2.0,17.6,2.7,2.9,1.9,7.5,1.4,11.1,2.0,14.1,2.7,1.9,1.2,1.7,0.6,2.3,0.8,2.5,1.0,0.6,0.6,1.6,0.7,2.5,1.2,3.2,1.6,0.2,0.2,40297,2059,51315,2542,61398,3832,24851,1754,52104,2014,64132,3447,74032,4147,31896,2094,26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
0500000US55005,55005,"Barron County, Wisconsin",19017,295,12457,353,10052,346,6560,350,4.7,0.7,2.9,0.8,1.5,0.7,9.3,1.7,6.2,0.9,2.7,0.8,1.1,0.5,14.5,2.3,13.5,1.2,8.4,1.3,5.8,0.9,24.3,2.8,11.9,1.1,10.5,1.3,9.4,1.3,14.1,1.9,17.1,1.4,16.6,1.6,16.2,1.8,17.7,2.7,19.8,1.3,23.6,1.7,24.8,2.1,11.3,2.0,13.2,1.2,16.8,1.7,19.7,2.0,5.3,1.6,9.0,0.9,12.1,1.2,14.1,1.4,2.7,0.9,2.5,0.5,3.3,0.8,3.9,0.9,0.5,0.3,2.1,0.4,2.9,0.7,3.5,0.8,0.4,0.5,46863,1494,57318,1776,65740,2004,26207,1808,60226,2355,72349,3432,80042,4093,34487,1787,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X)
0500000US55007,55007,"Bayfield County, Wisconsin",6798,145,4340,143,3646,131,2458,118,5.1,0.8,2.7,0.7,1.1,0.5,9.8,1.7,6.1,1.0,2.5,0.8,1.9,0.9,12.6,2.3,13.9,1.4,9.4,1.3,6.3,1.1,23.8,3.1,11.1,0.9,9.4,1.2,8.2,1.3,14.2,2.2,15.7,1.3,15.9,1.5,16.0,1.7,14.4,2.7,20.9,1.3,24.0,1.7,26.1,1.8,14.1,2.2,13.0,1.2,17.0,1.7,19.2,1.9,5.5,1.2,9.9,0.8,13.1,1.2,14.8,1.3,3.9,1.3,2.5,0.5,3.4,0.8,3.8,0.9,1.0,0.4,1.8,0.5,2.4,0.7,2.5,0.7,0.7,0.4,48132,1858,58388,2305,63267,2098,27857,2203,59687,2045,69606,2674,N,N,40511,2589,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X)
0500000US55009,55009,"Brown County, Wisconsin",101888,592,65560,902,50433,895,36328,926,5.3,0.5,3.1,0.5,1.2,0.3,10.6,1.2,4.9,0.5,3.2,0.5,0.9,0.3,8.6,0.8,10.3,0.5,5.9,0.6,3.3,0.5,18.6,1.1,10.4,0.6,8.2,0.8,6.2,0.8,14.9,1.0,14.8,0.8,13.2,1.0,11.5,1.0,17.6,1.4,19.0,1.0,19.5,1.2,20.8,1.3,17.3,1.3,14.4,0.7,18.4,1.0,21.4,1.2,6.4,0.9,13.2,0.7,17.7,1.0,21.3,1.3,4.4,0.7,3.8,0.4,5.4,0.6,6.8,0.7,0.7,0.3,3.9,0.4,5.5,0.6,6.6,0.8,0.9,0.2,54172,961,70681,1875,81412,1663,32420,1233,71438,1411,85545,1855,97426,2281,43297,1906,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
0500000US55011,55011,"Buffalo County, Wisconsin",5707,126,3793,127,3184,127,1914,123,5.9,1.3,2.5,1.0,1.5,0.6,13.8,3.6,5.6,1.1,2.3,0.9,2.1,0.9,12.1,2.9,11.6,1.5,6.9,1.2,5.6,1.3,21.2,3.8,10.0,1.2,7.9,1.3,6.6,1.2,14.8,2.3,14.1,1.5,15.8,2.1,14.2,1.9,14.1,2.9,23.0,1.7,26.5,2.2,26.8,2.3,15.3,3.0,12.7,1.1,15.9,1.6,17.7,1.7,4.5,1.2,12.6,1.5,16.1,1.9,18.5,2.2,3.3,1.6,2.6,0.6,3.7,0.9,4.3,1.0,0.5,0.5,1.9,0.5,2.3,0.7,2.7,0.8,0.4,0.4,52447,1733,62669,2080,67265,2449,27183,2603,62397,2153,73077,2556,N,N,36607,2792,34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.7,(X)
0500000US55013,55013,"Burnett County, Wisconsin",7308,348,4673,241,3727,172,2635,200,9.7,1.2,6.3,1.2,1.8,0.7,17.5,2.3,5.4,0.7,2.4,0.8,1.2,0.6,11.3,1.6,13.5,1.3,8.9,1.6,7.4,1.6,22.6,2.1,11.9,1.2,10.7,1.1,10.0,1.2,14.8,2.5,17.9,1.3,19.2,2.3,19.4,2.4,14.0,2.3,19.2,1.5,22.9,1.9,24.7,2.1,12.2,2.0,11.6,1.0,14.5,1.4,17.1,1.8,4.8,1.2,7.6,0.9,10.5,1.4,12.6,1.7,2.0,0.8,1.9,0.4,2.6,0.6,3.2,0.7,0.3,0.2,1.5,0.3,2.1,0.5,2.5,0.6,0.3,0.2,42441,1390,51867,1702,58945,2787,24141,1756,53336,1277,63353,1929,N,N,32722,1417,29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X)
0500000US55015,55015,"Calumet County, Wisconsin",18839,229,14079,285,11801,289,4760,309,3.1,0.6,2.3,0.7,0.7,0.4,7.3,2.1,2.6,0.7,1.2,0.6,0.2,0.1,7.1,2.0,7.5,0.9,4.2,0.8,2.8,0.6,18.4,2.9,7.8,1.0,6.0,1.0,5.2,0.8,14.5,3.1,13.1,1.3,11.7,1.5,9.9,1.4,16.0,2.3,20.4,1.6,20.7,1.8,20.3,1.8,19.3,3.0,18.2,1.2,20.8,1.6,23.2,1.7,9.2,2.1,19.5,1.6,23.0,2.1,25.9,2.4,7.2,2.1,4.4,0.7,5.8,1.0,6.6,1.1,0.4,0.5,3.4,0.7,4.3,0.9,5.1,1.0,0.6,0.5,70042,2078,79699,2288,86636,2371,37133,4979,80494,2030,90688,2635,98845,3086,46634,2372,24.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
0500000US55017,55017,"Chippewa County, Wisconsin",24973,342,16918,403,13709,386,8055,405,4.5,0.7,2.4,0.7,1.2,0.5,9.3,2.0,5.7,1.1,2.5,0.6,1.2,0.4,13.6,2.8,10.8,1.1,7.3,1.3,4.2,0.7,20.0,2.6,10.7,1.1,9.3,1.3,7.4,1.2,14.8,2.3,15.8,1.0,14.1,1.2,12.9,1.1,19.6,2.4,20.1,1.6,22.7,2.0,24.0,2.0,14.0,2.6,14.4,1.3,18.0,1.7,20.8,2.0,4.6,1.4,12.7,1.2,17.0,1.5,20.0,1.7,2.7,1.0,3.3,0.6,4.1,0.7,5.0,0.9,0.9,0.6,2.0,0.5,2.7,0.7,3.2,0.8,0.5,0.5,52657,1670,65599,2512,73792,2598,29660,2355,65164,1835,76367,2502,84101,2717,37533,1972,24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X)
