area,area_title,naics,naics_title,occ code,occ title,o_group,i_group,tot_emp,emp_prse,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",00-0000,All Occupations,total,sector,4000,11.3,100,22.26,46310,2.8,11.96,14.88,18.69,26.25,36.27,24870,30950,38870,54600,75450,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",11-0000,Management Occupations,major,sector,160,21,3.92,54.7,113770,7.8,30.83,36.9,48.57,61.47,93,64120,76740,101030,127860,193450,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",13-0000,Business and Financial Operations Occupations,major,sector,120,21.7,3.01,27.05,56270,2.7,17.45,21.91,26.96,31.65,37.95,36290,45570,56070,65830,78940,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,sector,30,28.3,0.81,27.77,57760,5.3,20.09,22.82,26.99,31.02,38.38,41790,47460,56130,64530,79820,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",19-0000,"Life, Physical, and Social Science Occupations",major,sector,650,18,16.2,27.34,56860,4.8,15.11,18.22,24.44,32.06,44.59,31420,37900,50840,66680,92740,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",19-1011,Animal Scientists,detailed,sector,290,29.7,7.21,34.59,71960,4.1,22.02,26.35,31.26,39.36,55.43,45800,54810,65010,81870,115300,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",19-1032,Foresters,detailed,sector,40,18.5,1,28.68,59660,12,16.84,20.42,26.71,30.01,42.44,35030,42480,55550,62410,88270,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",19-4010,Agricultural and Food Science Technicians,detailed,sector,260,21.6,6.41,18.38,38240,3.9,12.21,15.15,17.66,21.16,24.08,25400,31500,36740,44020,50080,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",41-0000,Sales and Related Occupations,major,sector,180,24.2,4.56,35.82,74510,4.1,21.64,25.73,33.46,42.88,51.98,45020,53520,69590,89190,108130,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,sector,30,38.5,0.76,42.29,87960,8.1,27.98,31.95,38.29,48.09,63.47,58200,66460,79640,100030,132020,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,sector,120,25.7,3.12,35.11,73030,5.8,21.51,24.99,32.86,42.02,51.18,44740,51980,68340,87400,106450,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",43-0000,Office and Administrative Support Occupations,major,sector,390,18.7,9.64,16.87,35090,3.2,11.01,13.44,16.54,19.65,23.95,22910,27950,34410,40880,49820,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,sector,70,17.7,1.72,18.19,37840,5,11.01,14.88,18.56,22.08,24.38,22890,30960,38600,45920,50720,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,sector,70,18.3,1.81,17.74,36910,3.2,11.93,14.54,17.4,19.81,25.05,24820,30250,36190,41210,52110,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",43-9061,"Office Clerks, General",detailed,sector,50,43.5,1.32,15.17,31550,6.3,8.29,9.57,15.32,19.28,23.35,17250,19900,31870,40100,48570,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-0000,"Farming, Fishing, and Forestry Occupations",major,sector,1680,11.1,42.09,17.79,37000,3,11.02,13.65,16.7,20.15,27.72,22930,28400,34740,41920,57650,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,sector,70,19.4,1.66,27.43,57040,3.5,17.5,23.74,27.85,31.63,37.2,36390,49370,57920,65800,77380,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-2021,Animal Breeders,detailed,sector,230,35.1,5.87,20.21,42040,5.7,13.03,14.99,18.69,24,29.91,27100,31190,38870,49930,62220,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-2041,"Graders and Sorters, Agricultural Products",detailed,sector,90,20.6,2.14,13.84,28780,6.2,10.4,11.44,13.35,15.32,18.4,21630,23800,27770,31860,38280,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-2091,Agricultural Equipment Operators,detailed,sector,160,30.2,4.04,21.46,44640,7.4,14.55,16.38,18.94,26.87,31.81,30260,34070,39390,55890,66160,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,sector,180,36.6,4.52,15,31210,9.7,9.97,11.87,14.41,17.39,19.02,20730,24690,29980,36170,39560,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,sector,480,19.5,12.11,14.45,30060,3.7,9.49,12.04,14.46,17.22,19.11,19730,25050,30080,35820,39740,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",45-4022,Logging Equipment Operators,detailed,sector,470,10.6,11.67,19.2,39940,5.6,13.36,15.79,18.06,22.55,28.42,27790,32830,37560,46890,59120,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",49-0000,"Installation, Maintenance, and Repair Occupations",major,sector,120,16.1,3.12,22.3,46390,3.7,14.79,18.62,22.18,25.91,30.66,30760,38740,46130,53900,63780,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",49-3041,Farm Equipment Mechanics and Service Technicians,detailed,sector,40,25.6,1.01,20.12,41840,4.2,14.18,16.83,20.21,23.4,26.7,29480,35020,42040,48670,55540,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",51-0000,Production Occupations,major,sector,130,25,3.26,16.89,35120,4.8,12.51,14.12,16.07,18.36,23.21,26020,29370,33430,38190,48270,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",51-9111,Packaging and Filling Machine Operators and Tenders,detailed,sector,90,31.5,2.31,15.25,31720,5.1,11.95,13.33,15.08,17.13,18.92,24850,27720,31360,35620,39360,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",53-0000,Transportation and Material Moving Occupations,major,sector,470,15.9,11.84,18.95,39410,4.1,10.23,14.1,18.61,23.13,27.96,21280,29330,38720,48120,58150,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,sector,270,24.9,6.84,19.6,40770,6.4,10.78,15.56,19.86,23.54,28.11,22410,32360,41300,48960,58460,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",53-3033,Light Truck Drivers,detailed,sector,50,31.3,1.23,19.53,40610,7.1,11.27,15.17,19.9,23.32,25.37,23450,31550,41380,48510,52770,,
55,Wisconsin,11,"Agriculture, Forestry, Fishing and Hunting",53-7065,Stockers and Order Fillers,detailed,sector,60,32.7,1.47,14.82,30830,6.6,10.27,11.81,14.81,17.8,19.62,21360,24570,30810,37030,40810,,
55,Wisconsin,113000,Forestry and Logging,00-0000,All Occupations,total,3-digit,700,2.7,100,19.76,41110,4.6,12.88,15.63,18.52,23.55,29.13,26790,32510,38530,48980,60590,,
55,Wisconsin,113000,Forestry and Logging,19-0000,"Life, Physical, and Social Science Occupations",major,3-digit,40,18.5,5.73,28.68,59660,12,16.84,20.42,26.71,30.01,42.44,35030,42480,55550,62410,88270,,
55,Wisconsin,113000,Forestry and Logging,19-1032,Foresters,detailed,3-digit,40,18.5,5.73,28.68,59660,12,16.84,20.42,26.71,30.01,42.44,35030,42480,55550,62410,88270,,
55,Wisconsin,113000,Forestry and Logging,43-0000,Office and Administrative Support Occupations,major,3-digit,40,19.7,5.63,14.64,30440,8.8,8.63,10.83,13.17,18.22,22.8,17950,22530,27390,37890,47420,,
55,Wisconsin,113000,Forestry and Logging,45-0000,"Farming, Fishing, and Forestry Occupations",major,3-digit,480,10,68.53,19.48,40520,6,13.43,15.85,18.16,23.06,28.97,27930,32960,37780,47960,60260,,
55,Wisconsin,113000,Forestry and Logging,45-4022,Logging Equipment Operators,detailed,3-digit,470,10.6,66.55,19.2,39940,5.6,13.36,15.79,18.06,22.55,28.42,27790,32830,37560,46890,59120,,
55,Wisconsin,113000,Forestry and Logging,53-0000,Transportation and Material Moving Occupations,major,3-digit,110,34.7,15.51,19.35,40250,8.1,12.87,14.66,20.3,23.31,27.7,26770,30490,42220,48480,57620,,
55,Wisconsin,113000,Forestry and Logging,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,3-digit,**,**,**,20,41590,10.7,13.7,15.22,20.58,23.21,27.19,28500,31650,42820,48280,56560,,
55,Wisconsin,113300,Logging,00-0000,All Occupations,total,4-digit,700,2.7,100,19.76,41110,4.6,12.88,15.63,18.52,23.55,29.13,26790,32510,38530,48980,60590,,
55,Wisconsin,113300,Logging,19-0000,"Life, Physical, and Social Science Occupations",major,4-digit,40,18.5,5.73,28.68,59660,12,16.84,20.42,26.71,30.01,42.44,35030,42480,55550,62410,88270,,
55,Wisconsin,113300,Logging,19-1032,Foresters,detailed,4-digit,40,18.5,5.73,28.68,59660,12,16.84,20.42,26.71,30.01,42.44,35030,42480,55550,62410,88270,,
55,Wisconsin,113300,Logging,43-0000,Office and Administrative Support Occupations,major,4-digit,40,19.7,5.63,14.64,30440,8.8,8.63,10.83,13.17,18.22,22.8,17950,22530,27390,37890,47420,,
55,Wisconsin,113300,Logging,45-0000,"Farming, Fishing, and Forestry Occupations",major,4-digit,480,10,68.53,19.48,40520,6,13.43,15.85,18.16,23.06,28.97,27930,32960,37780,47960,60260,,
55,Wisconsin,113300,Logging,45-4022,Logging Equipment Operators,detailed,4-digit,470,10.6,66.55,19.2,39940,5.6,13.36,15.79,18.06,22.55,28.42,27790,32830,37560,46890,59120,,
55,Wisconsin,113300,Logging,53-0000,Transportation and Material Moving Occupations,major,4-digit,110,34.7,15.51,19.35,40250,8.1,12.87,14.66,20.3,23.31,27.7,26770,30490,42220,48480,57620,,
55,Wisconsin,113300,Logging,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,4-digit,**,**,**,20,41590,10.7,13.7,15.22,20.58,23.21,27.19,28500,31650,42820,48280,56560,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,00-0000,All Occupations,total,3-digit,3300,13.7,100,22.79,47410,3.2,11.76,14.67,18.74,27.04,38.27,24460,30520,38970,56240,79600,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,11-0000,Management Occupations,major,3-digit,160,21,4.76,54.7,113770,7.8,30.83,36.9,48.57,61.47,93,64120,76740,101030,127860,193450,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,13-0000,Business and Financial Operations Occupations,major,3-digit,110,23.4,3.32,27.46,57120,2.7,17.37,22.22,27.52,32.43,38.34,36130,46210,57240,67450,79750,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,19-0000,"Life, Physical, and Social Science Occupations",major,3-digit,610,19.1,18.42,27.25,56680,5.1,14.94,18.12,24.15,32.58,44.78,31080,37690,50240,67770,93140,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,19-1011,Animal Scientists,detailed,3-digit,290,29.7,8.74,34.59,71960,4.1,22.02,26.35,31.26,39.36,55.43,45800,54810,65010,81870,115300,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,19-4010,Agricultural and Food Science Technicians,detailed,3-digit,260,21.6,7.77,18.38,38240,3.9,12.21,15.15,17.66,21.16,24.08,25400,31500,36740,44020,50080,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,41-0000,Sales and Related Occupations,major,3-digit,180,24.5,5.47,36.12,75120,4.1,21.94,25.97,33.66,43.06,52.1,45640,54020,70020,89560,108380,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,3-digit,30,38.5,0.93,42.29,87960,8.1,27.98,31.95,38.29,48.09,63.47,58200,66460,79640,100030,132020,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,3-digit,120,25.7,3.78,35.11,73030,5.8,21.51,24.99,32.86,42.02,51.18,44740,51980,68340,87400,106450,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,43-0000,Office and Administrative Support Occupations,major,3-digit,350,20.8,10.49,17.13,35620,3.5,11.88,13.81,16.76,19.79,24.06,24710,28720,34850,41160,50050,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,3-digit,50,17.5,1.5,17.92,37270,6.5,9.82,14.33,18.66,22.11,24.26,20430,29800,38810,45980,50470,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,3-digit,60,18.7,1.87,18.82,39140,3.8,14.13,16.16,18.06,20.95,25.65,29380,33620,37570,43580,53360,,
