naics,employment,proximity,emp_share,naics_title
113000,510.0,35.029411764705884,0.018958121138676797,Forestry and Logging
523000,10630.0,50.15921901867339,0.39514672098849873,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
493000,14140.0,50.171486027769824,0.5256232017664508,Warehousing and Storage
518000,7250.0,50.532412024756844,0.2695027024615819,"Data Processing, Hosting, and Related Services"
511000,8930.0,51.604954327011505,0.3319529838595761,Publishing Industries (except Internet)
519000,440.0,51.66317016317017,0.016356026080427043,Other Information Services
533000,220.0,52.27489177489178,0.008178013040213521,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
541000,106310.0,52.47069514075248,3.9518389377504515,"Professional, Scientific, and Technical Services"
425000,5910.0,52.524778971733284,0.2196911684893723,Wholesale Electronic Markets and Agents and Brokers
551000,64150.0,52.6326261595821,2.3846342569531696,Management of Companies and Enterprises
313000,330.0,52.64466089466089,0.012267019560320282,Textile Mills
323000,26470.0,52.722707783758025,0.9839636598838722,Printing and Related Support Activities
115000,2480.0,52.87499519969278,0.09218851063513424,Support Activities for Agriculture and Forestry
524000,62950.0,52.888525532454814,2.34002691309746,Insurance Carriers and Related Activities
522000,45140.0,53.435851142697814,1.6779795847056287,Credit Intermediation and Related Activities
314000,1470.0,53.525763956376196,0.05464399622324489,Textile Product Mills
325000,17310.0,53.79812021355399,0.6434609351186183,Chemical Manufacturing
315000,410.0,54.09872241579559,0.015240842484034288,Apparel Manufacturing
482000,2340.0,54.64158526658527,0.08698432051863472,Rail Transportation
423000,69580.0,54.929802922599535,2.586482487900258,"Merchant Wholesalers, Durable Goods"
424000,42020.0,55.080846342041625,1.5620004906807825,"Merchant Wholesalers, Nondurable Goods"
561000,133450.0,55.150013778679664,4.960708364620428,Administrative and Support Services
334000,16640.0,55.22006709269631,0.6185551681325135,Computer and Electronic Product Manufacturing
316000,340.0,55.28676470588235,0.012638747425784531,Leather and Allied Product Manufacturing
333000,64250.0,55.36642879439931,2.3883515356078124,Machinery Manufacturing
337000,9700.0,55.640860674229074,0.3605760295003234,Furniture and Related Product Manufacturing
322000,26760.0,55.700973263952356,0.9947437679823355,Paper Manufacturing
326000,31780.0,55.877949412002465,1.1813511564453893,Plastics and Rubber Products Manufacturing
332000,74270.0,55.940231844808046,2.7608228568029918,Fabricated Metal Product Manufacturing
336000,21210.0,56.13914632959895,0.7884348026496762,Transportation Equipment Manufacturing
321000,16850.0,56.40832411582909,0.6263614533072628,Wood Product Manufacturing
517000,9050.0,56.45152886654024,0.3364137182451471,Telecommunications
515000,3440.0,56.56315114149417,0.1278743857197023,Broadcasting (except Internet)
339000,13420.0,56.61718160958101,0.49885879545302475,Miscellaneous Manufacturing
331000,12750.0,56.64801604060428,0.47395302846691995,Primary Metal Manufacturing
335000,21960.0,56.7464866523883,0.8163143925594951,"Electrical Equipment, Appliance, and Component Manufacturing"
324000,150.0,57.015686274509804,0.005575917981963764,Petroleum and Coal Products Manufacturing
531000,17670.0,57.75422800786328,0.6568431382753314,Real Estate
811000,22650.0,57.86431227712685,0.8419636152765284,Repair and Maintenance
311000,71730.0,57.95391311649438,2.666403978975072,Food Manufacturing
454000,15760.0,58.37042715110609,0.5858431159716595,Nonstore Retailers
488000,4990.0,58.571712332227484,0.1854922048666612,Support Activities for Transportation
327000,9240.0,58.92895963474745,0.34347654768896785,Nonmetallic Mineral Product Manufacturing
221000,7280.0,58.95032778778537,0.2706178860579747,Utilities
491000,11360.0,59.28927128001797,0.422282855167389,Postal Service (federal government)
562000,6050.0,59.942261072261076,0.22489535860587181,Waste Management and Remediation Services
441000,39780.0,60.33138451691153,1.4787334488167903,Motor Vehicle and Parts Dealers
721000,31370.0,60.34579546538705,1.1661103139613553,Accommodation
481000,990.0,60.46195286195287,0.03680105868096084,Air Transportation
445000,54630.0,60.524722527600716,2.030749329031203,Food and Beverage Stores
312000,3330.0,61.14495906162573,0.12378537919959555,Beverage and Tobacco Product Manufacturing
712000,1820.0,61.28180875900656,0.06765447151449368,"Museums, Historical Sites, and Similar Institutions"
813000,26240.0,61.64764686159727,0.9754139189781944,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
999000,154650.0,62.013494717577366,5.748771439404641,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)"
443000,7480.0,62.1194141642671,0.2780524433672597,Electronics and Appliance Stores
487000,70.0,62.5,0.0026020950582497566,Scenic and Sightseeing Transportation
444000,24810.0,62.583080197839436,0.9222568342168065,Building Material and Garden Equipment and Supplies Dealers
452000,54900.0,62.71131511576867,2.0407859813987375,General Merchandise Stores
212000,2810.0,62.993349212367434,0.1044555301954545,Mining (except Oil and Gas)
532000,5320.0,63.04554485233628,0.19775922442698152,Rental and Leasing Services
442000,6580.0,63.2123941065788,0.24459693547547712,Furniture and Home Furnishings Stores
711000,8890.0,63.857576193849596,0.3304660723977191,"Performing Arts, Spectator Sports, and Related Industries"
453000,14900.0,64.01464536581986,0.5538745195417338,Miscellaneous Store Retailers
236000,26760.0,65.16864585047122,0.9947437679823355,Construction of Buildings
238000,78980.0,65.38610018433462,2.935906681436654,Specialty Trade Contractors
611000,215880.0,65.60890784914291,8.02486115964225,Educational Services
451000,9520.0,65.74002639517343,0.3538849279219669,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
237000,14720.0,66.66291340246764,0.5471834179633774,Heavy and Civil Engineering Construction
448000,15340.0,67.05315498278341,0.5702305456221609,Clothing and Clothing Accessories Stores
447000,26660.0,67.81844898037697,0.991026489327693,Gasoline Stations
713000,31400.0,68.0713129891839,1.167225497557748,"Amusement, Gambling, and Recreation Industries"
484000,43470.0,68.50392055125036,1.615901031173099,Truck Transportation
492000,7820.0,70.82473815613201,0.29069119079304423,Couriers and Messengers
485000,15020.0,70.94871916809333,0.5583352539273049,Transit and Ground Passenger Transportation
512000,3280.0,71.76985336817656,0.1219267398722743,Motion Picture and Sound Recording Industries
722000,207760.0,72.76818469042189,7.723018132885278,Food Services and Drinking Places
